place,state,population
Washington County,New_York,63216
Wayne County,New_York,93772
Westchester County,New_York,949113
Wyoming County,New_York,42155
Yates County,New_York,25348
Appling County,Georgia,18368
Atkinson County,Georgia,8284
Bacon County,Georgia,11198
Baker County,Georgia,3366
Baldwin County,Georgia,46367
Banks County,Georgia,18316
Barrow County,Georgia,70169
Bartow County,Georgia,100661
Ben Hill County,Georgia,17538
Berrien County,Georgia,19041
Bibb County,Georgia,156462
Bleckley County,Georgia,12913
Brantley County,Georgia,18587
Brooks County,Georgia,15403
Bryan County,Georgia,32214
Bulloch County,Georgia,72694
Burke County,Georgia,23125
Butts County,Georgia,23524
Calhoun County,Georgia,6504
Camden County,Georgia,51402
Candler County,Georgia,11117
Carroll County,Georgia,111580
Catoosa County,Georgia,65046
Charlton County,Georgia,13295
Chatham County,Georgia,276434
Chattahoochee County,Georgia,13037
Chattooga County,Georgia,25725
Cherokee County,Georgia,221315
Clarke County,Georgia,120266
Clay County,Georgia,3116
Clayton County,Georgia,265888
Clinch County,Georgia,6718
Cobb County,Georgia,707442
Coffee County,Georgia,43170
Colquitt County,Georgia,46137
Columbia County,Georgia,131627
Cook County,Georgia,16923
Coweta County,Georgia,130929
Crawford County,Georgia,12600
Crisp County,Georgia,23606
Dade County,Georgia,16490
Dawson County,Georgia,22422
Decatur County,Georgia,27509
DeKalb County,Georgia,707089
Dodge County,Georgia,21329
Dooly County,Georgia,14318
Dougherty County,Georgia,94501
Douglas County,Georgia,133971
Early County,Georgia,10594
Echols County,Georgia,3988
Effingham County,Georgia,53293
Elbert County,Georgia,19684
Emanuel County,Georgia,22898
Evans County,Georgia,10689
Fannin County,Georgia,23492
Fayette County,Georgia,107524
Floyd County,Georgia,96177
Forsyth County,Georgia,187928
Franklin County,Georgia,21894
Fulton County,Georgia,1041423
Gilmer County,Georgia,28190
Glascock County,Georgia,3142
Glynn County,Georgia,81022
Gordon County,Georgia,55766
Grady County,Georgia,25440
Greene County,Georgia,16092
Gwinnett County,Georgia,842046
Habersham County,Georgia,43520
Hall County,Georgia,185416
Hancock County,Georgia,8996
Haralson County,Georgia,28400
Harris County,Georgia,32550
Hart County,Georgia,25518
Heard County,Georgia,11633
Henry County,Georgia,209053
Houston County,Georgia,146136
Irwin County,Georgia,9600
Jackson County,Georgia,60571
Jasper County,Georgia,13630
Jeff Davis County,Georgia,15156
Jefferson County,Georgia,16432
Jenkins County,Georgia,9213
Johnson County,Georgia,9897
Jones County,Georgia,28577
Lamar County,Georgia,18057
Lanier County,Georgia,10400
Laurens County,Georgia,48041
Lee County,Georgia,28746
Liberty County,Georgia,65471
Lincoln County,Georgia,7737
Long County,Georgia,16048
Lowndes County,Georgia,114552
Lumpkin County,Georgia,30611
Macon County,Georgia,14263
Madison County,Georgia,27922
Marion County,Georgia,8711
McDuffie County,Georgia,21663
McIntosh County,Georgia,13839
Meriwether County,Georgia,21273
Miller County,Georgia,5969
Mitchell County,Georgia,23144
Monroe County,Georgia,26637
Montgomery County,Georgia,8913
Morgan County,Georgia,17881
Murray County,Georgia,39392
Muscogee County,Georgia,198413
Newton County,Georgia,101505
Oconee County,Georgia,33619
Oglethorpe County,Georgia,14618
Paulding County,Georgia,144800
Peach County,Georgia,27622
Pickens County,Georgia,29268
Pierce County,Georgia,18844
Pike County,Georgia,17810
Polk County,Georgia,41188
Pulaski County,Georgia,11720
Putnam County,Georgia,21198
Quitman County,Georgia,2404
Rabun County,Georgia,16297
Randolph County,Georgia,7327
Richmond County,Georgia,202587
Rockdale County,Georgia,85820
Schley County,Georgia,4990
Screven County,Georgia,14202
Seminole County,Georgia,8947
Spalding County,Georgia,63865
Stephens County,Georgia,25891
Stewart County,Georgia,6042
Sumter County,Georgia,31554
Talbot County,Georgia,6517
Taliaferro County,Georgia,1680
Tattnall County,Georgia,25384
Taylor County,Georgia,8420
Telfair County,Georgia,16349
Terrell County,Georgia,9045
Thomas County,Georgia,44724
Tift County,Georgia,41064
Toombs County,Georgia,27315
Towns County,Georgia,10495
Treutlen County,Georgia,6769
Troup County,Georgia,68468
Turner County,Georgia,8410
Twiggs County,Georgia,8447
Union County,Georgia,21451
Upson County,Georgia,26630
Walker County,Georgia,68094
Walton County,Georgia,84575
Ware County,Georgia,35821
Warren County,Georgia,5578
Washington County,Georgia,20879
Wayne County,Georgia,30305
Webster County,Georgia,2793
Wheeler County,Georgia,7888
White County,Georgia,27556
Whitfield County,Georgia,103359
Wilcox County,Georgia,9068
Wilkes County,Georgia,10076
Wilkinson County,Georgia,9577
Worth County,Georgia,21741
Accomack County,Virginia,32973
Albemarle County,Virginia,105703
Alleghany County,Virginia,15677
Amelia County,Virginia,12903
Amherst County,Virginia,31914
Appomattox County,Virginia,15414
Arlington County,Virginia,229164
Augusta County,Virginia,74314
Bath County,Virginia,4470
Bedford County,Virginia,77724
Bland County,Virginia,6561
Botetourt County,Virginia,33347
Brunswick County,Virginia,16698
Buchanan County,Virginia,22776
Buckingham County,Virginia,17032
Campbell County,Virginia,55086
Caroline County,Virginia,29984
Carroll County,Virginia,29724
Charles City County,Virginia,7040
Charlotte County,Virginia,12201
Chesterfield County,Virginia,335687
Clarke County,Virginia,14363
Craig County,Virginia,5211
Culpeper County,Virginia,49432
Cumberland County,Virginia,9719
Dickenson County,Virginia,15115
Dinwiddie County,Virginia,27852
Essex County,Virginia,11130
Fairfax County,Virginia,1142234
Fauquier County,Virginia,68782
Floyd County,Virginia,15651
Fluvanna County,Virginia,26235
Franklin County,Virginia,56264
Frederick County,Virginia,83199
Giles County,Virginia,16708
Gloucester County,Virginia,37143
Goochland County,Virginia,22253
Grayson County,Virginia,16012
Greene County,Virginia,19162
Greensville County,Virginia,11885
Halifax County,Virginia,35125
Hanover County,Virginia,103227
Henrico County,Virginia,325155
Henry County,Virginia,51881
Highland County,Virginia,2214
Isle of Wight County,Virginia,36314
James City County,Virginia,73147
King and Queen County,Virginia,7158
King George County,Virginia,25515
King William County,Virginia,16269
Lancaster County,Virginia,10965
Lee County,Virginia,24742
Loudoun County,Virginia,375629
Louisa County,Virginia,34602
Lunenburg County,Virginia,12299
Madison County,Virginia,13134
Mathews County,Virginia,8862
Mecklenburg County,Virginia,31081
Middlesex County,Virginia,10606
Montgomery County,Virginia,97653
Nelson County,Virginia,14785
New Kent County,Virginia,20392
Northampton County,Virginia,12155
Northumberland County,Virginia,12232
Nottoway County,Virginia,15673
Orange County,Virginia,35385
Page County,Virginia,23726
Patrick County,Virginia,18045
Pittsylvania County,Virginia,62194
Powhatan County,Virginia,28031
Prince Edward County,Virginia,22952
Prince George County,Virginia,37862
Prince William County,Virginia,451721
Pulaski County,Virginia,34332
Rappahannock County,Virginia,7378
Richmond County,Virginia,8908
Roanoke County,Virginia,94409
Rockbridge County,Virginia,22354
Rockingham County,Virginia,78593
Russell County,Virginia,27891
Scott County,Virginia,22126
Shenandoah County,Virginia,43190
Smyth County,Virginia,31470
Southampton County,Virginia,18109
Spotsylvania County,Virginia,130475
Stafford County,Virginia,142003
Surry County,Virginia,6709
Sussex County,Virginia,11715
Tazewell County,Virginia,42899
Warren County,Virginia,39083
Washington County,Virginia,54591
Westmoreland County,Virginia,17629
Wise County,Virginia,39718
Wythe County,Virginia,29119
York County,Virginia,67837
Arkansas County,Arkansas,19019
Ashley County,Arkansas,21853
Baxter County,Arkansas,41513
Benton County,Arkansas,221339
Boone County,Arkansas,36903
Bradley County,Arkansas,11508
Calhoun County,Arkansas,5368
Carroll County,Arkansas,27446
Chicot County,Arkansas,11800
Clark County,Arkansas,22995
Clay County,Arkansas,16083
Cleburne County,Arkansas,25970
Cleveland County,Arkansas,8689
Columbia County,Arkansas,24552
Conway County,Arkansas,21273
Craighead County,Arkansas,96443
Crawford County,Arkansas,61948
Crittenden County,Arkansas,50902
Cross County,Arkansas,17870
Dallas County,Arkansas,8116
Desha County,Arkansas,13008
Drew County,Arkansas,18509
Faulkner County,Arkansas,113237
Franklin County,Arkansas,18125
Fulton County,Arkansas,12245
Garland County,Arkansas,96024
Grant County,Arkansas,17853
Greene County,Arkansas,42090
Hempstead County,Arkansas,22609
Hot Spring County,Arkansas,32923
Howard County,Arkansas,13789
Independence County,Arkansas,36647
Izard County,Arkansas,13696
Jackson County,Arkansas,17997
Jefferson County,Arkansas,77435
Johnson County,Arkansas,25540
Lafayette County,Arkansas,7645
Lawrence County,Arkansas,17415
Lee County,Arkansas,10424
Lincoln County,Arkansas,14134
Little River County,Arkansas,13171
Logan County,Arkansas,22353
Lonoke County,Arkansas,68356
Madison County,Arkansas,15717
Marion County,Arkansas,16653
Miller County,Arkansas,43462
Mississippi County,Arkansas,46480
Monroe County,Arkansas,8149
Montgomery County,Arkansas,9487
Nevada County,Arkansas,8997
Newton County,Arkansas,8330
Ouachita County,Arkansas,26120
Perry County,Arkansas,10445
Phillips County,Arkansas,21757
Pike County,Arkansas,11291
Poinsett County,Arkansas,24583
Polk County,Arkansas,20662
Pope County,Arkansas,61754
Prairie County,Arkansas,8715
Pulaski County,Arkansas,382748
Randolph County,Arkansas,17969
St. Francis County,Arkansas,28258
Saline County,Arkansas,107118
Scott County,Arkansas,11233
Searcy County,Arkansas,8195
Sebastian County,Arkansas,125744
Sevier County,Arkansas,17058
Sharp County,Arkansas,17264
Stone County,Arkansas,12394
Union County,Arkansas,41639
Van Buren County,Arkansas,17295
Washington County,Arkansas,203065
White County,Arkansas,77076
Woodruff County,Arkansas,7260
Yell County,Arkansas,22185
Bernalillo County,New_Mexico,670968
Catron County,New_Mexico,3733
Chaves County,New_Mexico,65890
Cibola County,New_Mexico,27658
Colfax County,New_Mexico,13640
Curry County,New_Mexico,49649
De Baca County,New_Mexico,1945
Doña Ana County,New_Mexico,213598
Eddy County,New_Mexico,54152
Grant County,New_Mexico,29380
Guadalupe County,New_Mexico,4619
Harding County,New_Mexico,740
Hidalgo County,New_Mexico,4861
Lea County,New_Mexico,65423
Lincoln County,New_Mexico,20454
Los Alamos County,New_Mexico,18222
Luna County,New_Mexico,25281
McKinley County,New_Mexico,73664
Mora County,New_Mexico,4773
Otero County,New_Mexico,65703
Quay County,New_Mexico,9026
Rio Arriba County,New_Mexico,40446
Roosevelt County,New_Mexico,20446
Sandoval County,New_Mexico,134259
San Juan County,New_Mexico,128200
San Miguel County,New_Mexico,29301
Santa Fe County,New_Mexico,145648
Sierra County,New_Mexico,11943
Socorro County,New_Mexico,17873
Taos County,New_Mexico,32917
Torrance County,New_Mexico,16345
Union County,New_Mexico,4433
Valencia County,New_Mexico,77070
Acadia Parish,Louisiana,61773
Allen Parish,Louisiana,25764
Ascension Parish,Louisiana,107215
Assumption Parish,Louisiana,23421
Avoyelles Parish,Louisiana,42073
Beauregard Parish,Louisiana,35654
Bienville Parish,Louisiana,14353
Bossier Parish,Louisiana,116979
Caddo Parish,Louisiana,254969
Calcasieu Parish,Louisiana,192768
Caldwell Parish,Louisiana,10132
Cameron Parish,Louisiana,6839
Catahoula Parish,Louisiana,10407
Claiborne Parish,Louisiana,17195
Concordia Parish,Louisiana,20822
DeSoto Parish,Louisiana,26656
East Baton Rouge Parish,Louisiana,440171
East Carroll Parish,Louisiana,7759
East Feliciana Parish,Louisiana,20267
Evangeline Parish,Louisiana,33984
Franklin Parish,Louisiana,20767
Grant Parish,Louisiana,22309
Iberia Parish,Louisiana,73240
Iberville Parish,Louisiana,33387
Jackson Parish,Louisiana,16274
Jefferson Parish,Louisiana,432552
Jefferson Davis Parish,Louisiana,31594
Lafayette Parish,Louisiana,221578
Lafourche Parish,Louisiana,96318
LaSalle Parish,Louisiana,14890
Lincoln Parish,Louisiana,46735
Livingston Parish,Louisiana,128026
Madison Parish,Louisiana,12093
Morehouse Parish,Louisiana,27979
Natchitoches Parish,Louisiana,39566
Orleans Parish,Louisiana,343829
Ouachita Parish,Louisiana,153720
Plaquemines Parish,Louisiana,23042
Pointe Coupee Parish,Louisiana,22802
Rapides Parish,Louisiana,131613
Red River Parish,Louisiana,9091
Richland Parish,Louisiana,20725
Sabine Parish,Louisiana,24233
St. Bernard Parish,Louisiana,35897
St. Charles Parish,Louisiana,52780
St. Helena Parish,Louisiana,11203
St. James Parish,Louisiana,22102
St. John the Baptist Parish,Louisiana,45924
St. Landry Parish,Louisiana,83384
St. Martin Parish,Louisiana,52160
St. Mary Parish,Louisiana,54650
St. Tammany Parish,Louisiana,233740
Tangipahoa Parish,Louisiana,121097
Tensas Parish,Louisiana,5066
Terrebonne Parish,Louisiana,111860
Union Parish,Louisiana,22721
Vermilion Parish,Louisiana,57999
Vernon Parish,Louisiana,52334
Washington Parish,Louisiana,47168
Webster Parish,Louisiana,41207
West Baton Rouge Parish,Louisiana,23788
West Carroll Parish,Louisiana,11604
West Feliciana Parish,Louisiana,15625
Winn Parish,Louisiana,15313
Aleutians East Borough,Alaska,2938
Anchorage,Alaska,291845
Bristol Bay Borough,Alaska,869
Denali Borough,Alaska,1860
Fairbanks North Star Borough,Alaska,95898
Haines Borough,Alaska,2516
Juneau,Alaska,31986
Kenai Peninsula Borough,Alaska,58367
Ketchikan Gateway Borough,Alaska,13739
Kodiak Island Borough,Alaska,13001
Lake and Peninsula Borough,Alaska,1622
Matanuska-Susitna Borough,Alaska,106438
North Slope Borough,Alaska,9886
Northwest Arctic Borough,Alaska,7715
Petersburg Borough,Alaska,3226
Sitka,Alaska,8532
Skagway,Alaska,1095
Unorganized Borough,Alaska,76534
Wrangell,Alaska,2400
Yakutat,Alaska,540
